Name,Height,Pos,Team,img_Link,PTS,AST,REB,PIE
Danilo Gallinari,208.28,Forward,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/danilo_gallinari.png,15.3,2.0,4.8,0.102
Langston Galloway,187.96,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/langston_galloway.png,6.2,1.0,1.6,0.086
Marc Gasol,215.9,Center,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marc_gasol.png,17.2,4.2,8.1,0.14
Pau Gasol,213.36,Center,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/pau_gasol.png,10.1,3.1,8.0,0.15
Rudy Gay,203.2,Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rudy_gay.png,11.5,1.3,5.1,0.125
Paul George,205.74,Forward,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/paul_george.png,21.9,3.3,5.7,0.12
Marcus Georges-Hunt,195.58,Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marcus_georges-hunt.png,1.4,0.2,0.4,0.017
Jonathan Gibson,187.96,Guard,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jonathan_gibson.png,8.5,1.0,0.8,0.115
Taj Gibson,205.74,Forward,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/taj_gibson.png,12.2,1.2,7.1,0.094
Harry Giles,208.28,Forward-Center,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/harry_giles.png,-1,-1,-1,-1
Manu Ginobili,198.12,Guard,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/manu_ginobili.png,8.9,2.5,2.2,0.085
Rudy Gobert,215.9,Center,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rudy_gobert.png,13.5,1.4,10.7,0.147
Aaron Gordon,205.74,Forward,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/aaron_gordon.png,17.6,2.3,7.9,0.113
Eric Gordon,193.04,Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/eric_gordon.png,18.0,2.2,2.5,0.09
Marcin Gortat,210.82,Center,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marcin_gortat.png,8.4,1.8,7.6,0.104
Treveon Graham,195.58,Guard-Forward,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/treveon_graham.png,4.3,0.9,1.9,0.047
Jerami Grant,205.74,Forward,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jerami_grant.png,8.4,0.7,3.9,0.101
Jerian Grant,193.04,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jerian_grant.png,8.4,4.6,2.3,0.096
Danny Green,198.12,Guard-Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/danny_green.png,8.6,1.6,3.6,0.073
Draymond Green,200.66,Forward,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/draymond_green.png,11.0,7.3,7.6,0.117
Gerald Green,200.66,Guard-Forward,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/gerald_green.png,12.1,0.6,3.2,0.088
JaMychal Green,205.74,Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jamychal_green.png,10.3,1.4,8.4,0.101
Jeff Green,205.74,Forward,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jeff_green.png,10.8,1.3,3.2,0.09
Blake Griffin,208.28,Forward,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/blake_griffin.png,21.4,5.8,7.4,0.144
Daniel Hamilton,200.66,Guard-Forward,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/daniel_hamilton.png,2.0,1.3,0.8,0.186
Tim Hardaway Jr.,198.12,Forward-Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tim_hardaway jr..png,17.5,2.7,3.9,0.091
James Harden,195.58,Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/james_harden.png,30.4,8.8,5.4,0.194
Maurice Harkless,205.74,Forward,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/maurice_harkless.png,6.5,0.9,2.7,0.072
Montrezl Harrell,203.2,Forward-Center,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/montrezl_harrell.png,11.0,1.0,4.0,0.144
Devin Harris,190.5,Guard,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/devin_harris.png,8.4,2.1,1.8,0.076
Gary Harris,193.04,Guard,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/gary_harris.png,17.5,2.9,2.6,0.098
Joe Harris,198.12,Forward-Guard,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/joe_harris.png,7.6,1.1,2.4,0
Tobias Harris,205.74,Forward,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tobias_harris.png,18.6,2.4,5.5,0.113
Aaron Harrison,198.12,Guard,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/aaron_harrison.png,6.7,1.2,2.7,0.022
Andrew Harrison,198.12,Guard,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/andrew_harrison.png,9.5,3.2,2.3,0.083
Shaquille Harrison,193.04,Guard,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/shaquille_harrison.png,6.6,2.4,2.7,0.101
Josh Hart,195.58,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/josh_hart.png,7.9,1.3,4.2,0.087
Udonis Haslem,203.2,Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/udonis_haslem.png,0.6,0.4,0.7,0.021
Nigel Hayes,200.66,Forward,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nigel_hayes.png,3.0,0.7,2.4,0.061
Gordon Hayward,203.2,Forward,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/gordon_hayward.png,2.0,0.0,1.0,0.048
Reggie Hearn,195.58,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/reggie_hearn.png,1.0,0.0,0.0,0.129
Myke Henry,198.12,Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/myke_henry.png,5.4,1.1,1.9,0.053
John Henson,210.82,Center,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/john_henson.png,8.8,1.5,6.8,0.097
Juancho Hernangomez,205.74,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/juancho_hernangomez.png,3.3,0.5,2.2,0.061
Willy Hernangomez,210.82,Center,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/willy_hernangomez.png,5.1,0.7,3.8,0.134
Mario Hezonja,203.2,Forward-Guard,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/mario_hezonja.png,9.6,1.4,3.7,0.094
Isaiah Hicks,205.74,Forward,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/isaiah_hicks.png,4.4,0.9,2.3,0.033
Buddy Hield,193.04,Guard,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/buddy_hield.png,13.5,1.9,3.8,0.109
Nene Hilario,210.82,Center-Forward,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nene_hilario.png,6.5,0.9,3.4,0.092
George Hill,190.5,Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/george_hill.png,10.0,2.8,2.7,0.079
Solomon Hill,200.66,Forward,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/solomon_hill.png,2.4,1.8,3.0,0.033
Darrun Hilliard,198.12,Guard,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/darrun_hilliard.png,1.1,0.8,0.5,0.026
Jrue Holiday,193.04,Guard,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jrue_holiday.png,19.0,6.0,4.5,0.118
Justin Holiday,198.12,Guard-Forward,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/justin_holiday.png,12.2,2.1,4.0,0.069
Rondae Hollis-Jefferson,200.66,Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rondae_hollis-jefferson.png,13.9,2.5,6.8,0.119
Richaun Holmes,208.28,Forward-Center,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/richaun_holmes.png,6.5,1.3,4.4,0.115
Rodney Hood,203.2,Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rodney_hood.png,14.7,1.6,2.8,0.09
Al Horford,208.28,Forward-Center,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/al_horford.png,12.9,4.7,7.4,0.134
Danuel House,200.66,Forward-Guard,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/danuel_house.png,6.6,1.1,3.3,0.091
Dwight Howard,210.82,Center,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dwight_howard.png,16.6,1.3,12.5,0.136
Josh Huestis,200.66,Guard,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/josh_huestis.png,2.3,0.3,2.3,0.032
RJ Hunter,195.58,Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rj_hunter.png,3.8,0.6,1.0,0.052
Serge Ibaka,208.28,Forward-Center,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/serge_ibaka.png,12.6,0.8,6.3,0.098
Andre Iguodala,198.12,Forward-Guard,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/andre_iguodala.png,6.0,3.3,3.8,0.081
Ersan Ilyasova,208.28,Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ersan_ilyasova.png,10.9,1.3,5.9,0.099
Joe Ingles,203.2,Forward,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/joe_ingles.png,11.5,4.8,4.2,0.107
Andre Ingram,190.5,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/andre_ingram.png,12.0,3.5,3.0,0.099
Brandon Ingram,205.74,Forward-Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/brandon_ingram.png,16.1,3.9,5.3,0.096
Kyrie Irving,190.5,Guard,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyrie_irving.png,24.4,5.1,3.8,0.165
Jonathan Isaac,208.28,Forward,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jonathan_isaac.png,5.4,0.7,3.7,0.071
Wes Iwundu,200.66,Forward,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wes_iwundu.png,3.7,0.9,2.2,0.053
Jarrett Jack,190.5,Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jarrett_jack.png,7.5,5.6,3.1,0.089
Aaron Jackson,190.5,Guard,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/aaron_jackson.png,8.0,1.0,3.0,-0.01
Demetrius Jackson,185.42000000000002,Guard,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/demetrius_jackson.png,1.1,0.6,0.8,0.037
Frank Jackson,190.5,Guard,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/frank_jackson.png,-1,-1,-1,-1
Josh Jackson,203.2,Guard-Forward,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/josh_jackson.png,13.1,1.5,4.6,0.072
Justin Jackson,203.2,Forward,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/justin_jackson.png,6.7,1.1,2.8,0.064
Reggie Jackson,190.5,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/reggie_jackson.png,14.6,5.3,2.8,0.108
LeBron James,203.2,Forward-Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/lebron_james.png,27.5,9.1,8.6,0.191
Al Jefferson,208.28,Center,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/al_jefferson.png,7.0,0.8,4.0,0.135
Amile Jefferson,205.74,Forward,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/amile_jefferson.png,-1,-1,-1,-1
Richard Jefferson,200.66,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/richard_jefferson.png,1.5,0.8,0.9,0.047
Brandon Jennings,185.42000000000002,Guard,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/brandon_jennings.png,5.2,3.1,2.2,0.098
Jonas Jerebko,208.28,Forward,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jonas_jerebko.png,5.8,0.6,3.3,0.091
Amir Johnson,205.74,Center-Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/amir_johnson.png,4.6,1.6,4.5,0.088
Dakari Johnson,213.36,Center,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dakari_johnson.png,1.8,0.3,1.1,0.089
James Johnson,203.2,Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/james_johnson.png,10.8,3.8,4.9,0.112
Joe Johnson,200.66,Guard-Forward,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/joe_johnson.png,6.8,1.5,3.1,0.07
Omari Johnson,205.74,Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/omari_johnson.png,5.5,1.8,2.8,0
Stanley Johnson,200.66,Forward,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/stanley_johnson.png,8.7,1.6,3.7,0.059
Tyler Johnson,193.04,Guard,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyler_johnson.png,11.7,2.3,3.4,0.087
Wesley Johnson,200.66,Forward-Guard,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wesley_johnson.png,5.4,0.8,2.9,0.058
Nikola Jokic,208.28,Center,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nikola_jokic.png,18.5,6.1,10.7,0.169
Damian Jones,213.36,Center,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/damian_jones.png,1.7,0.1,0.9,0.033
Jalen Jones,200.66,Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jalen_jones.png,4.6,0.3,2.4,0.051
Tyus Jones,187.96,Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyus_jones.png,5.1,2.8,1.6,0.09
Derrick Jones Jr.,200.66,Forward-Guard,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/derrick_jones jr..png,3.1,0.5,1.9,0.046
DeAndre Jordan,210.82,Center,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/deandre_jordan.png,12.0,1.5,15.2,0.152
Cory Joseph,190.5,Guard,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/cory_joseph.png,7.9,3.2,3.2,0.078
Frank Kaminsky,213.36,Forward-Center,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/frank_kaminsky.png,11.1,1.6,3.6,0.098
Enes Kanter,210.82,Center,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/enes_kanter.png,14.1,1.5,11.0,0.161
Luke Kennard,195.58,Guard,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/luke_kennard.png,7.6,1.7,2.4,0.086
Michael Kidd-Gilchrist,200.66,Forward,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/michael_kidd-gilchrist.png,9.2,1.0,4.1,0.074
Sean Kilpatrick,193.04,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/sean_kilpatrick.png,6.3,0.9,1.7,0.086
Maxi Kleber,210.82,Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/maxi_kleber.png,5.4,0.7,3.3,0.08
Brandon Knight,190.5,Guard,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/brandon_knight.png,11.0,2.4,2.2,0.088
Furkan Korkmaz,200.66,Guard-Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/furkan_korkmaz.png,1.6,0.3,0.8,0.01
Luke Kornet,215.9,Forward-Center,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/luke_kornet.png,6.7,1.3,3.2,0.083
Kyle Korver,200.66,Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyle_korver.png,9.2,1.2,2.3,0.083
Kosta Koufos,213.36,Center,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kosta_koufos.png,6.7,1.2,6.6,0.124
Kyle Kuzma,205.74,Forward,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyle_kuzma.png,16.1,1.8,6.3,0.104
Zach LaVine,195.58,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/zach_lavine.png,16.7,3.0,3.9,0.092
Skal Labissiere,210.82,Forward-Center,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/skal_labissiere.png,8.7,1.2,4.8,0.085
Jeremy Lamb,195.58,Guard,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jeremy_lamb.png,12.9,2.3,4.1,0.116
Shane Larkin,180.34,Guard,BOS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/shane_larkin.png,4.3,1.8,1.7,0.084
Joffrey Lauvergne,210.82,Center,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/joffrey_lauvergne.png,4.1,0.7,3.1,0.119
Ty Lawson,180.34,Guard,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ty_lawson.png,9.9,4.8,2.6,0.106
Jake Layman,205.74,Forward,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jake_layman.png,1.0,0.3,0.5,0.027
Caris LeVert,200.66,Guard-Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/caris_levert.png,12.1,4.2,3.7,0.099
TJ Leaf,208.28,Forward,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tj_leaf.png,2.9,0.2,1.5,0.061
Courtney Lee,195.58,Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/courtney_lee.png,12.0,2.4,2.9,0.085
Damion Lee,198.12,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/damion_lee.png,10.7,1.9,4.7,0.086
Alex Len,215.9,Center,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alex_len.png,8.5,1.2,7.5,0.129
Kawhi Leonard,200.66,Forward,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kawhi_leonard.png,16.2,2.3,4.7,0.182
Meyers Leonard,215.9,Center,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/meyers_leonard.png,3.4,0.5,2.1,0.12
Jon Leuer,208.28,Forward-Center,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jon_leuer.png,5.4,0.6,4.0,0.07
DeAndre Liggins,198.12,Guard,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/deandre_liggins.png,1.7,0.8,1.3,0.035
Damian Lillard,190.5,Guard,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/damian_lillard.png,26.9,6.6,4.5,0.165
Jeremy Lin,190.5,Guard,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jeremy_lin.png,18.0,4.0,0.0,0.071
Shaun Livingston,200.66,Guard,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/shaun_livingston.png,5.5,2.0,1.8,0.075
Kevon Looney,205.74,Forward,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kevon_looney.png,4.0,0.6,3.3,0.079
Brook Lopez,213.36,Center,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/brook_lopez.png,13.0,1.7,4.0,0.092
Robin Lopez,213.36,Center,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/robin_lopez.png,11.8,1.9,4.5,0.087
Kevin Love,208.28,Center-Forward,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kevin_love.png,17.6,1.7,9.3,0.15
Kyle Lowry,182.88,Guard,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyle_lowry.png,16.2,6.9,5.6,0.136
Timothe Luwawu-Cabarrot,198.12,Guard-Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/timothe_luwawu-cabarrot.png,5.8,1.0,1.4,0.041
Tyler Lydon,205.74,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyler_lydon.png,0.0,0.0,0.0,0.0
Trey Lyles,208.28,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/trey_lyles.png,9.9,1.2,4.8,0.128
Shelvin Mack,190.5,Guard,ORL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/shelvin_mack.png,6.4,3.1,2.0,0
Josh Magette,185.42000000000002,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/josh_magette.png,2.6,3.2,1.1,0.086
Ian Mahinmi,210.82,Center,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ian_mahinmi.png,4.8,0.7,4.1,0.061
Thon Maker,215.9,Center-Forward,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/thon_maker.png,4.8,0.6,3.0,0.05
Boban Marjanovic,220.98,Center,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/boban_marjanovic.png,6.0,0.6,3.7,0.166
Lauri Markkanen,213.36,Forward,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/lauri_markkanen.png,15.2,1.2,7.5,0.114
Jarell Martin,208.28,Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jarell_martin.png,7.7,1.0,4.4,0.066
Frank Mason,180.34,Guard,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/frank_mason.png,7.9,2.8,2.5,0.091
Mangok Mathiang,208.28,Forward-Center,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/mangok_mathiang.png,2.0,0.0,2.5,0.129
Wesley Matthews,195.58,Guard-Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wesley_matthews.png,12.7,2.7,3.1,0.071
Luc Mbah a Moute,203.2,Forward,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/luc_mbah a moute.png,7.5,0.9,3.0,0.067
Patrick McCaw,200.66,Guard,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/patrick_mccaw.png,4.0,1.4,1.4,0.046
CJ McCollum,190.5,Guard,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/cj_mccollum.png,21.4,3.4,4.0,0.109
T.J. McConnell,187.96,Guard,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/t.j._mcconnell.png,6.3,4.0,3.0,0.099
Erik McCree,203.2,Forward,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/erik_mccree.png,0.0,0.0,0.3,-0.031
Chris McCullough,205.74,Forward,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/chris_mccullough.png,2.4,0.2,1.3,0.103
Doug McDermott,203.2,Forward,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/doug_mcdermott.png,7.8,1.0,2.5,0.069
JaVale McGee,213.36,Center,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/javale_mcgee.png,4.8,0.5,2.6,0.118
Rodney McGruder,193.04,Guard-Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/rodney_mcgruder.png,5.1,0.9,1.8,0.065
Alfonzo McKinnie,203.2,Forward,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alfonzo_mckinnie.png,1.5,0.1,0.5,0.052
Ben McLemore,195.58,Guard,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ben_mclemore.png,7.5,0.9,2.5,0.056
Jodie Meeks,193.04,Guard,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jodie_meeks.png,6.3,0.9,1.6,0.092
Salah Mejri,218.44,Center,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/salah_mejri.png,3.5,0.6,4.0,0.103
Jordan Mickey,203.2,Center-Forward,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jordan_mickey.png,4.0,0.4,3.5,0.08
