PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
203751,2017-18,20,0,TOT,29.0,23,0,8.9,1.2,3.0,0.4,0.7,1.6,0.432,0.5,0.6,0.786,0.5,1.3,1.8,0.2,0.2,0.2,0.5,1.1,3.6,Kevin Foster
1628857,2017-18,20,1612709926,MHU,22.0,14,2,22.6,3.6,9.0,0.405,1.1,3.5,0.327,1.1,1.1,0.938,0.6,3.3,3.9,3.7,0.7,0.0,1.4,2.3,9.5,J.J. Frazier
1628656,2017-18,20,1612709919,WES,23.0,50,14,27.2,4.3,9.6,0.454,0.7,2.5,0.293,2.5,2.9,0.87,0.4,2.3,2.7,2.4,1.1,0.2,1.7,2.1,11.9,Billy Garrett
1627771,2017-18,20,1612709902,SCW,26.0,28,20,27.4,3.3,7.8,0.425,1.3,4.3,0.303,0.9,1.3,0.694,0.4,2.4,2.8,1.8,0.9,0.5,1.0,1.6,8.8,Michael Gbinije
202087,2017-18,20,1612709904,SXF,31.0,28,22,32.1,4.9,9.9,0.493,0.6,1.6,0.356,3.3,4.6,0.721,2.0,3.3,5.3,2.3,1.6,0.5,2.3,2.6,13.6,Alonzo Gee
1628671,2017-18,20,1612709922,GBO,23.0,50,11,20.2,2.5,4.4,0.583,0.0,0.1,0.333,1.5,2.0,0.745,1.6,2.6,4.2,0.4,0.2,0.5,0.8,2.4,6.6,L.G. Gill
1628552,2017-18,20,0,TOT,24.0,33,8,17.7,2.8,6.3,0.45,0.9,2.6,0.341,2.4,3.0,0.808,0.3,1.1,1.4,3.6,0.7,0.1,2.0,1.2,9.0,John Gillon
203462,2017-18,20,0,TOT,23.0,34,28,32.1,6.7,12.7,0.528,0.7,2.1,0.319,4.9,7.0,0.706,1.2,4.7,5.9,3.1,1.6,0.2,2.9,2.6,19.0,Archie Goodwin
1628680,2017-18,20,1612709903,SLC,25.0,28,3,15.0,3.4,9.0,0.377,1.5,5.1,0.292,0.4,0.7,0.632,0.5,1.6,2.2,0.4,0.6,0.1,0.9,1.2,8.7,Torian Graham
1627982,2017-18,20,1612709900,NAS,24.0,45,28,34.1,7.2,15.9,0.454,2.7,6.6,0.407,2.3,3.0,0.759,1.1,3.7,4.8,6.6,2.4,0.1,2.9,1.8,19.4,Josh Gray
1627660,2017-18,20,1612709921,LIN,26.0,44,2,13.4,1.7,2.9,0.591,0.1,0.3,0.385,1.0,2.0,0.535,1.8,2.5,4.3,0.5,0.3,1.2,0.7,2.2,4.6,Kendall Gray
1626999,2017-18,20,1612709890,AUS,25.0,34,9,14.4,1.4,3.1,0.439,0.2,0.8,0.296,1.2,1.5,0.788,0.5,1.0,1.5,1.1,0.6,0.2,0.9,1.5,4.2,Jordan Green
1628646,2017-18,20,1612709900,NAS,25.0,6,0,4.8,0.5,1.2,0.429,0.2,0.5,0.333,0.0,0.0,0.0,0.2,0.5,0.7,0.2,0.2,0.0,0.0,0.2,1.2,Steven Green
1628237,2017-18,20,1612709914,RNO,24.0,42,0,19.4,3.2,7.2,0.445,1.1,2.8,0.398,0.8,1.0,0.833,0.4,2.7,3.1,3.8,1.1,0.2,0.8,1.7,8.3,Josh Hagins
1628174,2017-18,20,0,TOT,24.0,45,23,27.8,3.9,8.7,0.45,0.5,1.5,0.328,1.8,2.7,0.683,0.8,3.0,3.8,4.9,2.0,0.4,2.2,1.6,10.1,Alex Hamilton
1627772,2017-18,20,1612709889,OKL,22.0,45,45,32.8,5.5,13.4,0.407,1.6,5.6,0.286,3.6,4.4,0.813,1.8,7.2,9.0,8.0,1.1,0.1,5.0,1.9,16.1,Daniel Hamilton
1628554,2017-18,20,1612709893,CTN,24.0,42,11,17.6,2.8,6.8,0.416,1.0,3.0,0.331,0.7,0.9,0.833,0.7,1.9,2.6,1.2,0.6,0.1,0.9,1.5,7.4,Isaac Hamilton
